"sender_address","recipient_address","ipfs_hash","file_name","date","signature"
"aleo1j209w95ynw5s3e9sq4ha99fxwqs8wr9hzs4v6szkht0wzasdavgsartemk","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmRQ3ero92QYUfsQq5gKUrkXJfPaEMULupg6eVsYkRm222",NULL,1672300672088,NULL
"aleo1j209w95ynw5s3e9sq4ha99fxwqs8wr9hzs4v6szkht0wzasdavgsartemk","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmRQ3ero92QYUfsQq5gKUrkXJfPaEMULupg6eVsYkRmV8i",NULL,1672306076433,NULL
"aleo1j209w95ynw5s3e9sq4ha99fxwqs8wr9hzs4v6szkht0wzasdavgsartemk","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmRQ3ero92QYUfsQq5gKUrkXJfPaEMULupg6eVsYkRmV8i333",NULL,1672306103752,NULL
"aleo1j209w95ynw5s3e9sq4ha99fxwqs8wr9hzs4v6szkht0wzasdavgsartemk","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmRQ3ero92QYUfsQq5gKUrkXJfPaEMULupg6eVsYkRmV8i",NULL,1672309405545,NULL
"aleo1j209w95ynw5s3e9sq4ha99fxwqs8wr9hzs4v6szkht0wzasdavgsartemk","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmRQ3ero92QYUfsQq5gKUrkXJfPaEMULupg6eVsYkRmV888",NULL,1672309411163,NULL
"aleo1c2p34839jz49rrqau3222dz8agk87kmysxvyg7g2gtzwrnltf59qyqdd54","aleo18s7l90nhhw6jsz60wl6la0k8zzp2q7u5esdjmr7xpyl9d96rzvgsz2n4kx","QmTJK8qSqjbncE4FdG1jF7UT4LSwdoYSxCudVFdTqBBpcQ",NULL,1672398195746,NULL
"aleo1c2p34839jz49rrqau3222dz8agk87kmysxvyg7g2gtzwrnltf59qyqdd54","aleo1mlw729gzhv4yna977yxzct8ajkhrp3dn5zqwvp9wmex6dv3rl5pq28mvhl","QmPMykL31BSTnkLRvSHP7dQFD39CPnoaZg3r4Kv2hde4TC",NULL,1672412849301,NULL
"aleo1c2p34839jz49rrqau3222dz8agk87kmysxvyg7g2gtzwrnltf59qyqdd54","aleo1mlw729gzhv4yna977yxzct8ajkhrp3dn5zqwvp9wmex6dv3rl5pq28mvhl","QmeGBFac3bfkSd523Zkc3fLCdFKiZPDRVUDiZxxsvZ5wGX",NULL,1672415148869,NULL
"aleo1783v3evg6gzsm8wuyyc35kd88paj32arjdzdezx23gm85t3hncqsn76m74","aleo1rfwxjy4h2earn3ac89azml9sfawncnszzsxp684vc6yntchcnuyqkdu09d","QmSQv6RHqnrCkE89JrYPB5QYN5Ychx3KHbKaVypRUf7pmz",NULL,1672415817933,NULL
"aleo1zuw93sdzx5fzeqh8rpwtu7gp6lt8nehmamtv8vse8uzwrz44vsrqnj7tyx","aleo1mj5hw6vnvn3avv2fqafe77zglnmz8r42x3fm06jl744j4tp7wyrqry87fx","QmYo23wt7D9dG7uohvJ2z1Lm65kjYPc7qqrLgg5qi2SfkU",NULL,1672419328452,NULL
